"USERNAME","DISPLAY_NAME","CELL_PHONE" ,"EMAIL"
"lingo"   ,"临远"        ,"18012345678","lingo@mossle.com"
"vivian"  ,"薇薇安"      ,"18012345678","vivian@mossle.com"
"steven"  ,"史蒂文"      ,"18012345678","steven@mossle.com"
"king"    ,"金"          ,"18012345678","king@mossle.com"
"john"    ,"约翰"        ,"18012345678","john@mossle.com"
"william" ,"威廉"        ,"18012345678","william@mossle.com"
"adam"    ,"亚当"        ,"18012345678","adam@mossle.com"
"robot"   ,"罗伯特"      ,"18012345678","robot@mossle.com"
"bob"     ,"鲍勃"        ,"18012345678","bob@mossle.com"
"alice"   ,"爱丽丝"      ,"18012345678","alice@mossle.com"
"mike"    ,"麦克"        ,"18012345678","mike@mossle.com"
"justin"  ,"贾斯汀"      ,"18012345678","justin@mossle.com"
"tom"     ,"汤姆"        ,"18012345678","tom@mossle.com"
"james"   ,"詹姆斯"      ,"18012345678","james@mossle.com"
"joe"     ,"乔伊"        ,"18012345678","joe@mossle.com"
"paul"    ,"保罗"        ,"18012345678","paul@mossle.com"
"jane"    ,"简"          ,"18012345678","jane@mossle.com"
"marry"   ,"玛丽"        ,"18012345678","marry@mossle.com"
"ben"     ,"本"          ,"18012345678","ben@mossle.com"
"bot"     ,"系统机器人"  ,"18012345678","bot@mossle.com"
"jack"    ,"杰克"        ,"18012345678","jack@mossle.com"
"martin"  ,"马丁"        ,"18012345678","martin@mossle.com"
"alex"    ,"阿莱克斯"    ,"18012345678","alex@mossle.com"
"daniel"  ,"丹尼尔"      ,"18012345678","daniel@mossle.com"
"eric"    ,"艾瑞克"      ,"18012345678","eric@mossle.com"
"leon"    ,"里昂"        ,"18012345678","leon@mossle.com"
"clark"   ,"克拉克"      ,"18012345678","clark@mossle.com"
"david"   ,"大卫"        ,"18012345678","david@mossle.com"
"henry"   ,"亨利"        ,"18012345678","henry@mossle.com"
"helen"   ,"海伦"        ,"18012345678","helen@mossle.com"
"sarah"   ,"莎拉"        ,"18012345678","sarah@mossle.com"
"sam"     ,"萨姆"        ,"18012345678","sam@mossle.com"
"claire"  ,"克莱尔"      ,"18012345678","claire@mossle.com"
"thomas"  ,"托马斯"      ,"18012345678","thomas@mossle.com"
"andy"    ,"安迪"        ,"18012345678","andy@mossle.com"
"bill"    ,"比尔"        ,"18012345678","bill@mossle.com"
"anni"    ,"安妮"        ,"18012345678","anni@mossle.com"
"rose"    ,"萝丝"        ,"18012345678","rose@mossle.com"
"peter"   ,"皮特"        ,"18012345678","peter@mossle.com"
"alen"    ,"艾伦"        ,"18012345678","alen@mossle.com"
"judy"    ,"朱蒂"        ,"18012345678","judy@mossle.com"
"nancy"   ,"南希"        ,"18012345678","nancy@mossle.com"
"max"     ,"麦克斯"      ,"18012345678","max@mossle.com"
